code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09660,地平线机器人-W,2024-12-11 00:00:00,3.95,3.97,4.07,3.95,0.0,0.00177,23340032,93096006.0,1.0178117048346065,3.93
HK.09660,地平线机器人-W,2024-12-12 00:00:00,3.99,3.84,3.99,3.82,0.0,0.00269,35525400,136555188.0,-3.2745591939546683,3.97
HK.09660,地平线机器人-W,2024-12-13 00:00:00,3.83,3.77,3.91,3.75,0.0,0.00147,19387360,73699440.0,-1.8229166666666625,3.84
HK.09660,地平线机器人-W,2024-12-16 00:00:00,3.71,3.66,3.77,3.66,0.0,0.00124,16410200,60522614.0,-2.917771883289121,3.77
HK.09660,地平线机器人-W,2024-12-17 00:00:00,3.66,3.61,3.68,3.47,0.0,0.00224,29592212,105770537.0,-1.3661202185792423,3.66
HK.09660,地平线机器人-W,2024-12-18 00:00:00,3.66,3.44,3.68,3.44,0.0,0.00242,31901967,111468559.0,-4.709141274238225,3.61
HK.09660,地平线机器人-W,2024-12-19 00:00:00,3.44,3.59,3.63,3.39,0.0,0.00244,32233062,114652698.0,4.360465116279067,3.44
HK.09660,地平线机器人-W,2024-12-20 00:00:00,3.55,3.33,3.58,3.32,0.0,0.00292,38608133,130665782.0,-7.242339832869075,3.59
HK.09660,地平线机器人-W,2024-12-23 00:00:00,3.36,3.41,3.53,3.32,0.0,0.00213,28069318,95646302.0,2.4024024024024047,3.33
HK.09660,地平线机器人-W,2024-12-24 00:00:00,3.43,3.6,3.63,3.34,0.0,0.0015,19838802,70159358.0,5.571847507331377,3.41
HK.09660,地平线机器人-W,2024-12-27 00:00:00,3.61,3.81,3.95,3.55,0.0,0.00396,52262730,198322763.0,5.833333333333332,3.6
HK.09660,地平线机器人-W,2024-12-30 00:00:00,3.9,3.73,3.9,3.7,0.0,0.00144,19053398,71539419.0,-2.0997375328084007,3.81
HK.09660,地平线机器人-W,2024-12-31 00:00:00,3.75,3.6,3.79,3.58,0.0,0.00118,15598400,57040973.0,-3.4852546916890055,3.73
HK.09660,地平线机器人-W,2025-01-02 00:00:00,3.59,3.52,3.6,3.46,0.0,0.00166,21933588,77155947.0,-2.222222222222224,3.6
HK.09660,地平线机器人-W,2025-01-03 00:00:00,3.53,3.6,3.64,3.43,0.0,0.00176,23224400,82372588.0,2.2727272727272747,3.52
HK.09660,地平线机器人-W,2025-01-06 00:00:00,3.68,3.77,3.78,3.67,0.0,0.00162,21409599,79837659.0,4.72222222222222,3.6
HK.09660,地平线机器人-W,2025-01-07 00:00:00,3.81,3.77,3.9,3.65,0.0,0.00157,20690601,77982691.0,0.0,3.77
HK.09660,地平线机器人-W,2025-01-08 00:00:00,3.77,3.68,3.77,3.59,0.0,0.00117,15443656,56402680.0,-2.3872679045092804,3.77
HK.09660,地平线机器人-W,2025-01-09 00:00:00,3.6,3.66,3.75,3.6,0.0,0.00044,5773965,21260948.0,-0.5434782608695656,3.68
HK.09660,地平线机器人-W,2025-01-10 00:00:00,3.67,3.57,3.68,3.5,0.0,0.00103,13573800,48328099.0,-2.4590163934426315,3.66
HK.09660,地平线机器人-W,2025-01-13 00:00:00,3.57,3.52,3.57,3.5,0.0,0.00034,4469800,15760126.0,-1.4005602240896309,3.57
HK.09660,地平线机器人-W,2025-01-14 00:00:00,3.52,3.72,3.82,3.5,0.0,0.00133,17536043,64779311.0,5.681818181818187,3.52
HK.09660,地平线机器人-W,2025-01-15 00:00:00,3.72,3.6,3.75,3.6,0.0,0.00087,11526000,41854638.0,-3.2258064516129057,3.72
HK.09660,地平线机器人-W,2025-01-16 00:00:00,3.6,3.55,3.66,3.5,0.0,0.00094,12380738,44219956.0,-1.3888888888888962,3.6
HK.09660,地平线机器人-W,2025-01-17 00:00:00,3.56,3.56,3.66,3.54,0.0,0.00091,12077880,43174024.0,0.28169014084507693,3.55
HK.09660,地平线机器人-W,2025-01-20 00:00:00,3.6,3.67,3.77,3.6,0.0,0.00194,25631358,94652209.0,3.089887640449435,3.56
HK.09660,地平线机器人-W,2025-01-21 00:00:00,3.7,4.02,4.03,3.69,0.0,0.00463,61110600,236088042.0,9.536784741144405,3.67
HK.09660,地平线机器人-W,2025-01-22 00:00:00,4.0,4.05,4.08,3.86,0.0,0.00259,34231458,136633393.0,0.7462686567164242,4.02
HK.09660,地平线机器人-W,2025-01-23 00:00:00,4.05,4.12,4.19,4.03,0.0,0.00263,34690032,143342240.0,1.7283950617284023,4.05
HK.09660,地平线机器人-W,2025-01-24 00:00:00,4.12,4.39,4.55,4.11,0.0,0.00457,60285450,265295833.0,6.553398058252418,4.12
HK.09660,地平线机器人-W,2025-01-27 00:00:00,4.4,4.32,4.5,4.27,0.0,0.00182,24056900,105209235.0,-1.5945330296127425,4.39
HK.09660,地平线机器人-W,2025-01-28 00:00:00,4.32,4.5,4.55,4.28,0.0,0.00133,17518700,78144471.0,4.16666666666666,4.32
HK.09660,地平线机器人-W,2025-02-03 00:00:00,4.55,4.49,4.55,4.28,0.0,0.00216,28490513,126382863.0,-0.2222222222222175,4.5
HK.09660,地平线机器人-W,2025-02-04 00:00:00,4.49,4.64,4.74,4.37,0.0,0.00336,44290600,202449218.0,3.3407572383073374,4.49
HK.09660,地平线机器人-W,2025-02-05 00:00:00,4.65,4.78,4.95,4.61,0.0,0.00453,59746475,285024413.0,3.0172413793103576,4.64
HK.09660,地平线机器人-W,2025-02-06 00:00:00,4.82,5.47,5.63,4.8,0.0,0.01138,150258010,787995995.0,14.435146443514633,4.78
HK.09660,地平线机器人-W,2025-02-07 00:00:00,5.62,6.04,6.1,5.51,0.0,0.01187,156702821,914847473.0,10.42047531992688,5.47
HK.09660,地平线机器人-W,2025-02-10 00:00:00,6.15,6.01,6.15,5.7,0.0,0.00679,89626041,524435012.0,-0.4966887417218584,6.04
HK.09660,地平线机器人-W,2025-02-11 00:00:00,6.06,5.49,6.3,5.3,0.0,0.00891,117617837,659097304.0,-8.652246256239595,6.01
HK.09660,地平线机器人-W,2025-02-12 00:00:00,5.59,5.87,5.99,5.53,0.0,0.00723,95380904,551540788.0,6.921675774134789,5.49
HK.09660,地平线机器人-W,2025-02-13 00:00:00,6.1,5.88,6.3,5.85,0.0,0.00674,88931096,537574105.0,0.1703577512776795,5.87
HK.09660,地平线机器人-W,2025-02-14 00:00:00,5.98,6.82,6.85,5.85,0.0,0.00895,118206943,769945242.0,15.986394557823136,5.88
HK.09660,地平线机器人-W,2025-02-17 00:00:00,6.98,7.12,7.25,6.73,0.0,0.00779,102872336,714665205.0,4.398826979472139,6.82
HK.09660,地平线机器人-W,2025-02-18 00:00:00,7.19,7.6,7.6,7.05,0.0,0.00484,63944680,465671181.0,6.741573033707858,7.12
HK.09660,地平线机器人-W,2025-02-19 00:00:00,7.79,7.73,7.91,7.19,0.0,0.00548,72326800,552575307.0,1.710526315789484,7.6
HK.09660,地平线机器人-W,2025-02-20 00:00:00,7.7,7.29,7.72,7.19,0.0,0.0057,75245811,552583129.0,-5.692108667529112,7.73
HK.09660,地平线机器人-W,2025-02-21 00:00:00,7.49,8.12,8.12,7.32,0.0,0.00614,81018817,623359336.0,11.385459533607671,7.29
HK.09660,地平线机器人-W,2025-02-24 00:00:00,8.5,8.51,9.48,8.13,0.0,0.01112,146779750,1277798390.0,4.802955665024638,8.12
HK.09660,地平线机器人-W,2025-02-25 00:00:00,8.02,9.28,9.52,7.88,0.0,0.00865,114201391,1032305060.0,9.048178613396,8.51
HK.09660,地平线机器人-W,2025-02-26 00:00:00,9.31,9.81,10.26,9.31,0.0,0.00881,116229208,1145150202.0,5.711206896551737,9.28
HK.09660,地平线机器人-W,2025-02-27 00:00:00,10.0,9.64,10.38,9.28,0.0,0.00697,92029998,904782059.0,-1.7329255861365946,9.81
HK.09660,地平线机器人-W,2025-02-28 00:00:00,9.5,8.3,9.5,8.04,0.0,0.01002,132332277,1128197326.0,-13.900414937759335,9.64
